episode,reward,epsilon,lr_per_ep
0,16.0,1.0,5e-05
1,22.0,0.9996666666666667,5e-05
2,33.0,0.9993333333333333,5e-05
3,14.0,0.999,5e-05
4,18.0,0.9986666666666667,5e-05
5,16.0,0.9983333333333333,5e-05
6,15.0,0.998,5e-05
7,48.0,0.9976666666666667,5e-05
8,15.0,0.9973333333333333,5e-05
9,29.0,0.997,5e-05
10,35.0,0.9966666666666667,5e-05
11,23.0,0.9963333333333333,5e-05
12,16.0,0.996,5e-05
13,26.0,0.9956666666666667,5e-05
14,20.0,0.9953333333333333,5e-05
15,12.0,0.995,5e-05
16,19.0,0.9946666666666667,5e-05
17,27.0,0.9943333333333333,5e-05
18,17.0,0.994,5e-05
19,11.0,0.9936666666666667,5e-05
20,23.0,0.9933333333333333,5e-05
21,14.0,0.993,5e-05
22,24.0,0.9926666666666667,5e-05
23,14.0,0.9923333333333333,5e-05
24,22.0,0.992,5e-05
25,9.0,0.9916666666666667,5e-05
26,17.0,0.9913333333333333,5e-05
27,32.0,0.991,5e-05
28,11.0,0.9906666666666667,5e-05
29,19.0,0.9903333333333333,5e-05
30,13.0,0.99,5e-05
31,17.0,0.9896666666666667,5e-05
32,25.0,0.9893333333333333,5e-05
33,13.0,0.989,5e-05
34,18.0,0.9886666666666667,5e-05
35,14.0,0.9883333333333333,5e-05
36,18.0,0.988,5e-05
37,57.0,0.9876666666666667,5e-05
38,21.0,0.9873333333333333,5e-05
39,29.0,0.987,5e-05
40,23.0,0.9866666666666667,5e-05
41,13.0,0.9863333333333333,5e-05
42,13.0,0.986,5e-05
43,19.0,0.9856666666666667,5e-05
44,11.0,0.9853333333333333,5e-05
45,14.0,0.985,5e-05
46,12.0,0.9846666666666667,5e-05
47,15.0,0.9843333333333333,5e-05
48,13.0,0.984,5e-05
49,15.0,0.9836666666666667,5e-05
50,48.0,0.9833333333333333,5e-05
51,19.0,0.983,5e-05
52,38.0,0.9826666666666667,5e-05
53,10.0,0.9823333333333333,5e-05
54,38.0,0.982,5e-05
55,13.0,0.9816666666666667,5e-05
56,9.0,0.9813333333333333,5e-05
57,31.0,0.981,5e-05
58,13.0,0.9806666666666667,5e-05
59,33.0,0.9803333333333333,5e-05
60,18.0,0.98,5e-05
61,24.0,0.9796666666666667,5e-05
62,13.0,0.9793333333333334,5e-05
63,12.0,0.979,5e-05
64,13.0,0.9786666666666667,5e-05
65,14.0,0.9783333333333333,5e-05
66,21.0,0.978,5e-05
67,12.0,0.9776666666666667,5e-05
68,15.0,0.9773333333333334,5e-05
69,29.0,0.977,5e-05
70,13.0,0.9766666666666667,5e-05
71,10.0,0.9763333333333334,5e-05
72,21.0,0.976,5e-05
73,54.0,0.9756666666666667,5e-05
74,13.0,0.9753333333333334,5e-05
75,12.0,0.975,5e-05
76,19.0,0.9746666666666667,5e-05
77,26.0,0.9743333333333334,5e-05
78,26.0,0.974,5e-05
79,38.0,0.9736666666666667,5e-05
80,13.0,0.9733333333333334,5e-05
81,15.0,0.973,5e-05
82,33.0,0.9726666666666667,5e-05
83,36.0,0.9723333333333334,5e-05
84,42.0,0.972,5e-05
85,15.0,0.9716666666666667,5e-05
86,18.0,0.9713333333333334,5e-05
87,33.0,0.971,5e-05
88,11.0,0.9706666666666667,5e-05
89,23.0,0.9703333333333334,5e-05
90,20.0,0.97,5e-05
91,9.0,0.9696666666666667,5e-05
92,20.0,0.9693333333333334,5e-05
93,12.0,0.969,5e-05
94,16.0,0.9686666666666667,5e-05
95,17.0,0.9683333333333334,5e-05
96,24.0,0.968,5e-05
97,14.0,0.9676666666666667,5e-05
98,12.0,0.9673333333333334,5e-05
99,15.0,0.967,5e-05
100,15.0,0.9666666666666667,5e-05
101,11.0,0.9663333333333334,5e-05
102,20.0,0.966,5e-05
103,21.0,0.9656666666666667,5e-05
104,40.0,0.9653333333333334,5e-05
105,14.0,0.965,5e-05
106,32.0,0.9646666666666667,5e-05
107,15.0,0.9643333333333334,5e-05
108,24.0,0.964,5e-05
109,15.0,0.9636666666666667,5e-05
110,25.0,0.9633333333333334,5e-05
111,25.0,0.963,5e-05
112,11.0,0.9626666666666667,5e-05
113,18.0,0.9623333333333334,5e-05
